id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight
815e4bb9-b12d-49aa-b83f-170d169cfe6d,"Base Sérum Perfect Skin - Uni Makeup","Base sérum com textura ultrafluida e acabamento luminoso. Cobertura leve a média, ideal para o efeito no makeup makeup. Fórmula hidratante que não craquela, perfeita para o dia a dia. Embalagem em vidro com toque de luxo acessível.",in stock,new,25.25 BRL,https://ellemake2.lovable.app/produto/base-serum-vidro-uni-makeup,https://xinkvwlhctwgdfwixzxf.supabase.co/storage/v1/object/public/product-images/1773632993279-g4c1k4.jpg,Uni Makeup,"Health & Beauty > Personal Care > Cosmetics > Face Makeup","health & beauty > makeup & cosmetics > face makeup",24,29.90 BRL,,,female,,,adult,,,BR:::0.00 BRL,
0275301e-5db2-4ee0-84e5-198031a4d1ae,"Base Efeito Matte Fenzza BE64","Base matte com acabamento aveludado para peles mistas e oleosas. Controla o brilho excessivo por horas, textura leve que não craquela. Secagem rápida e sem transferência. Custo-benefício imbatível.",in stock,new,20.13 BRL,https://ellemake2.lovable.app/produto/base-efeito-matte-fenzza-be64,https://xinkvwlhctwgdfwixzxf.supabase.co/storage/v1/object/public/product-images/1773636027180-bnb251.png,Fenzza,"Health & Beauty > Personal Care > Cosmetics > Face Makeup","health & beauty > makeup & cosmetics > face makeup",24,24.90 BRL,,,female,,,adult,,,BR:::0.00 BRL,
868d6edf-b283-40f9-8b65-6c01e163a09e,"Base Stick Perfect Blend Ruby Rose HBM300","Base em bastão com alta pigmentação e textura cremosa. Cobertura personalizável do natural à alta performance. Ideal para contorno e iluminação. Formato prático para levar na bolsa.",in stock,new,24.90 BRL,https://ellemake2.lovable.app/produto/base-stick-ruby-rose-hbm300,https://xinkvwlhctwgdfwixzxf.supabase.co/storage/v1/object/public/product-images/1773615641276-7wtslv.jpeg,Ruby Rose,"Health & Beauty > Personal Care > Cosmetics > Face Makeup","health & beauty > makeup & cosmetics > face makeup",36,,,,female,,,adult,,,BR:::0.00 BRL,
8b510011-4b1d-4cf7-b49b-37dfbb9b8ed7,"Batom Duo Kiss Ruby Rose HBL6203","Batom duo com bastão matte aveludado e líquido de ultra pigmentação em uma embalagem. Longa duração sem ressecar ou craquelar. Tecnologia de fixação resistente a transferências. Dois acabamentos profissionais.",in stock,new,19.88 BRL,https://ellemake2.lovable.app/produto/batom-duo-kiss-ruby-rose-hbl6203,https://xinkvwlhctwgdfwixzxf.supabase.co/storage/v1/object/public/product-images/1773629025696-8ion38.jpg,Ruby Rose,"Health & Beauty > Personal Care > Cosmetics > Lip Makeup","health & beauty > makeup & cosmetics > lip makeup",36,21.90 BRL,,,female,,,adult,,,BR:::0.00 BRL,
4d1a0165-4a97-4001-bb3d-4622a35178a6,"Blush Max Love Cores 1 a 12","Blush em pó com textura ultrafina e toque aveludado. Alta pigmentação com aplicação suave e uniforme. Excelente aderência e durabilidade. Disponível em 12 cores vibrantes.",in stock,new,10.88 BRL,https://ellemake2.lovable.app/produto/blush-max-love,https://xinkvwlhctwgdfwixzxf.supabase.co/storage/v1/object/public/product-images/1773615146937-3ef3jc.jpeg,Max Love,"Health & Beauty > Personal Care > Cosmetics > Face Makeup","health & beauty > makeup & cosmetics > face makeup",30,,,,female,,,adult,,,BR:::0.00 BRL,
29762cab-22e1-4e74-92e8-1b600d6606c3,"Blush Stick Lovely Dopamine Ruby Rose HBM06","Blush em bastão cremoso com alta pigmentação. Cor saudável e radiante com uma passada. Versátil: use nos lábios como tint. Embalagem retrátil compacta e prática.",in stock,new,24.38 BRL,https://ellemake2.lovable.app/produto/blush-stick-ruby-rose-hbm06,https://xinkvwlhctwgdfwixzxf.supabase.co/storage/v1/object/public/product-images/1773631955558-bsajy2.png,Ruby Rose,"Health & Beauty > Personal Care > Cosmetics > Face Makeup","health & beauty > makeup & cosmetics > face makeup",36,24.90 BRL,,,female,,,adult,,,BR:::0.00 BRL,
55d6e2e1-afb7-49e8-babd-3fbf447c4d01,"Brow Rise Gel Para Sobrancelhas HBE2503 Ruby Rose","Gel para sobrancelha com pigmentação equilibrada e textura leve. Definição, preenchimento e fixação duradoura em um único passo. Seca rápido sem borrar ou transferir. Disfarça falhas com volume e aspecto encorpado.",in stock,new,14.63 BRL,https://ellemake2.lovable.app/produto/gel-sobrancelha-ruby-rose-hbe2503,https://xinkvwlhctwgdfwixzxf.supabase.co/storage/v1/object/public/product-images/1773614389312-89pjue.jpeg,Ruby Rose,"Health & Beauty > Personal Care > Cosmetics > Eye Makeup","health & beauty > makeup & cosmetics > eye makeup",36,16.90 BRL,,,female,,,adult,,,BR:::0.00 BRL,
b031cea8-39b1-4386-8330-a12b77eb678f,"Caneta Delineadora Bold Eyes Ruby Rose HBE2100","Caneta delineadora com ponta fina e maleável para traço preciso. Secagem rápida anti-borrões, acabamento matte impecável. Cor preta intensa que destaca o olhar. Design anatômico para controle total da espessura.",in stock,new,22.38 BRL,https://ellemake2.lovable.app/produto/caneta-delineadora-ruby-rose-hbe2100,https://xinkvwlhctwgdfwixzxf.supabase.co/storage/v1/object/public/product-images/1773611262425-frms5g.jpg,Ruby Rose,"Health & Beauty > Personal Care > Cosmetics > Eye Makeup","health & beauty > makeup & cosmetics > eye makeup",22,24.90 BRL,,,female,black,,adult,,,BR:::0.00 BRL,
97fc1411-d71e-4cdd-8db0-805970563209,"Cílios Postiços Sabrina Sato 6D F007","Cílios postiços com fios em 6 camadas multidimensionais. Volume extremo e efeito dramático com naturalidade. Bandinha ultrafina e flexível para todos os formatos de olho. Reutilizáveis com cuidados adequados.",in stock,new,8.25 BRL,https://ellemake2.lovable.app/produto/cilios-posticos-sabrina-sato-6d-f007,https://xinkvwlhctwgdfwixzxf.supabase.co/storage/v1/object/public/product-images/1773610837908-c9ozgt.jpg,Sabrina Sato,"Health & Beauty > Personal Care > Cosmetics > Eye Makeup","health & beauty > makeup & cosmetics > eye makeup",10,12.20 BRL,,,female,black,,adult,,,BR:::0.00 BRL,
44d1307d-b32f-4daa-a7fb-f384d2e5e32a,"Cílios Postiços Sabrina Sato 8D-F003","Cílios postiços 8D com volume extremo e curvatura impecável. Fios sintéticos de alta qualidade e haste flexível. Efeito de alongamento que abre o olhar. Reutilizáveis e leves.",in stock,new,6.00 BRL,https://ellemake2.lovable.app/produto/cilios-posticos-sabrina-sato-8df003,https://xinkvwlhctwgdfwixzxf.supabase.co/storage/v1/object/public/product-images/1773611452583-qt12rf.jpg,Sabrina Sato,"Health & Beauty > Personal Care > Cosmetics > Eye Makeup","health & beauty > makeup & cosmetics > eye makeup",10,9.90 BRL,,,female,black,,adult,,,BR:::0.00 BRL,
